Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760878138800,29897.856964111328,1300,2,0.73125,43584.756103515625,1300,2,0.73125,35010.85856628418,1300,2,0.73125,31125.883682250977,1300,2,0.73125,33998.16604614258,1300,2,0.73125,45249.35450744629,3250,1,0.73125,38823.08778381348,1300,2,0.73125,37139.79637145996,1300,2,0.73125,251123.044921875,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,2.941176414489746,8.823529243469238,3.0303030014038086,5.882352828979492,2.941176414489746,3.0303030014038086,0,8.571429252624512,3.0303030014038086,5.714285850524902,2.941176414489746,11.764705657958984,8.823529243469238,3.0303030014038086,3.0303030014038086,3.0303030014038086,32899801088,8589930496,8779206656,1825267712
199,1760878138800,29897.856994628906,3250,1,0.73125,43584.75668334961,3250,1,0.73125,35010.85891723633,3250,1,0.73125,31125.883697509766,1300,2,0.73125,33998.16606140137,1300,2,0.73125,45249.35647583008,3250,1,0.73125,38823.087799072266,1300,2,0.73125,37139.79638671875,3250,1,0.725,251123.05325317383,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,2.941176414489746,8.823529243469238,3.0303030014038086,5.882352828979492,2.941176414489746,3.0303030014038086,0,8.571429252624512,3.0303030014038086,5.714285850524902,2.941176414489746,11.764705657958984,8.823529243469238,3.0303030014038086,3.0303030014038086,3.0303030014038086,32899801088,8589930496,8779206656,1825267712
199,1760878139001,29897.874954223633,1989.9999999999998,2,0.125,43586.7899017334,4975,0,0.125,35010.890213012695,4975,0,0.125,31125.898529052734,1989.9999999999998,2,0.125,33998.17263793945,1989.9999999999998,2,0.125,45249.39340209961,4975,0,0.125,38823.09437561035,1989.9999999999998,2,0.125,37139.803939819336,4975,0,0.125,251127.07833862305,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32899801088,8589930496,8803500032,1825267712
199,1760878139201,29897.93049621582,1939.9999999999998,2,0.21875,43588.771224975586,4850,0,0.21875,35010.956314086914,1939.9999999999998,2,0.21875,31125.948791503906,1939.9999999999998,2,0.22499999999999987,33998.18859863281,4850,0,0.22499999999999987,45249.555435180664,4850,0,0.22499999999999987,38823.10746765137,1939.9999999999998,2,0.22499999999999987,37139.82582092285,4850,0,0.22499999999999987,251132.19468688965,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,100,0,0,0,4.761904716491699,0,0,4.761904716491699,0,0,9.523809432983398,0,0,0,0,32899801088,8589930496,8803500032,1825267712
199,1760878139401,29897.949737548828,1920,2,0.26875000000000004,43591.087814331055,4800,0,0.26875000000000004,35010.99589538574,1920,2,0.26875000000000004,31125.97688293457,1920,2,0.26875000000000004,33998.2024230957,1920,2,0.26875000000000004,45249.61280822754,4800,0,0.26875000000000004,38823.116119384766,1920,2,0.26875000000000004,37139.84326171875,4800,0,0.26875000000000004,251136.7036895752,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,100,0,0,0,0,0,0,0,0,0,5,0,0,0,0,32899801088,8589930496,8804012032,1825267712
199,1760878139601,29897.992889404297,1910.0000000000002,2,0.26875000000000004,43592.88836669922,4775,0,0.26875000000000004,35011.10046386719,1910.0000000000002,2,0.26875000000000004,31126.075225830078,1910.0000000000002,2,0.26875000000000004,33998.2509765625,4775,0,0.26875000000000004,45249.77633666992,4775,0,0.26875000000000004,38823.226654052734,1910.0000000000002,2,0.26875000000000004,37139.885833740234,4775,0,0.26875000000000004,251142.22395324707,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,100,0,0,0,0,4.761904716491699,0,0,0,0,5.263157844543457,5.263157844543457,0,0,0,32899801088,8589930496,8812351488,1825267712
199,1760878139801,29898.001693725586,1980,2,0.14375000000000004,43593.77787780762,2000,2,0.13124999999999987,35011.13610839844,2000,2,0.13124999999999987,31126.223678588867,2000,2,0.13124999999999987,33998.26902770996,5000,0,0.13124999999999987,45250.96810913086,5000,0,0.13124999999999987,38823.26258850098,5000,0,0.13124999999999987,37139.91044616699,5000,0,0.13124999999999987,251146.5131225586,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,100,0,0,0,0,4.761904716491699,0,0,0,0,5.263157844543457,5.263157844543457,0,0,0,32899801088,8589930496,8812523520,1825267712
199,1760878140001,29898.035415649414,1980,2,0.13749999999999996,43593.7942199707,1980,2,0.13749999999999996,35011.1600189209,1960.0000000000002,2,0.13749999999999996,31126.234405517578,1960.0000000000002,2,0.11874999999999991,33998.28602600098,4900,0,0.11874999999999991,45253.36280822754,4900,0,0.11874999999999991,38823.29560852051,4900,0,0.11874999999999991,37139.92149353027,4900,0,0.11874999999999991,251151.1257019043,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,12.5,0,0,0,0,0,0,0,0,0,75.60975646972656,0,2.4390242099761963,0,15.000000953674316,32899801088,8589930496,8812523520,1825267712
199,1760878140201,29898.0419921875,1889.9999999999998,2,0.29374999999999996,43593.93061828613,4725,0,0.29374999999999996,35011.294372558594,2362.5,1,0.29374999999999996,31126.372146606445,4725,0,0.29374999999999996,33998.33415222168,2362.5,1,0.29374999999999996,45255.15118408203,4725,0,0.29374999999999996,38823.33233642578,4725,0,0.29374999999999996,37139.96627807617,1889.9999999999998,2,0.29374999999999996,251156.19648742676,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,12.5,0,0,0,0,0,0,0,0,0,75.60975646972656,0,2.4390242099761963,0,15.000000953674316,32899801088,8589930496,8812523520,1825267712
199,1760878140401,29898.048141479492,1889.9999999999998,2,0.29374999999999996,43593.971618652344,1889.9999999999998,2,0.29374999999999996,35011.33126831055,4725,0,0.29374999999999996,31126.5235748291,2362.5,1,0.29374999999999996,33998.36196899414,1889.9999999999998,2,0.29374999999999996,45256.96781921387,4725,0,0.29374999999999996,38823.360427856445,4725,0,0.29374999999999996,37139.99499511719,4725,0,0.29374999999999996,251160.60511779785,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,7.500000476837158,0,2.4390242099761963,0,2.5,0,0,2.5,0,2.4390242099761963,100,0,0,0,0,32899801088,8589930496,8792076288,1825267712
199,1760878140601,29898.073501586914,1889.9999999999998,2,0.29374999999999996,43594.150131225586,2362.5,1,0.29374999999999996,35011.447174072266,2362.5,1,0.29374999999999996,31126.687545776367,2362.5,1,0.29374999999999996,33998.45266723633,1889.9999999999998,2,0.29374999999999996,45258.72619628906,4725,0,0.29374999999999996,38823.46098327637,2362.5,1,0.29374999999999996,37140.00067138672,1889.9999999999998,2,0.29374999999999996,251166.4098968506,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,7.500000476837158,0,2.4390242099761963,0,2.5,0,0,2.5,0,2.4390242099761963,100,0,0,0,0,32899801088,8589930496,8792076288,1825267712
199,1760878140801,29898.481872558594,2362.5,1,0.3062499999999999,43594.94795227051,4725,0,0.3062499999999999,35012.21484375,2362.5,1,0.3062499999999999,31127.226821899414,2362.5,1,0.3062499999999999,33998.954833984375,2362.5,1,0.3062499999999999,45260.59208679199,1889.9999999999998,2,0.3062499999999999,38823.94058227539,4725,0,0.3062499999999999,37140.450607299805,2362.5,1,0.3062499999999999,251173.03164672852,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,5,15.384615898132324,10.256410598754883,2.5,5,0,5,2.5,10,10.526315689086914,7.500000476837158,100,9.756096839904785,10.256410598754883,7.317072868347168,12.5,32899801088,8589930496,8796925952,1825267712
199,1760878141001,29898.524642944336,4750,0,0.28749999999999987,43596.72157287598,4750,0,0.28749999999999987,35012.334075927734,2375,1,0.28749999999999987,31127.352752685547,4750,0,0.28749999999999987,33999.135650634766,2375,1,0.28749999999999987,45260.69836425781,2375,1,0.28749999999999987,38824.07228088379,4750,0,0.28749999999999987,37140.51274108887,1900,2,0.28749999999999987,251179.30099487305,1946,2159,2162,1541,400,1948,400,1939,400,1379,1945,1945,4866,400,400,2159,0,0,0,0,0,0,0,0,0,0,5.263157844543457,4.761904716491699,0,0,0,100,32899801088,8589930496,8794603520,1825267712
