Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877550307,29760.170364379883,1300,2,0.85625,42447.64645385742,1300,2,0.85625,34800.49694824219,1300,2,0.85625,30984.18489074707,1300,2,0.85625,33841.411560058594,1300,2,0.85625,44073.76902770996,3250,1,0.85625,38622.609603881836,1300,2,0.85625,36961.11714172363,1300,2,0.85625,243294.80224609375,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,2.941176414489746,11.764705657958984,3.0303030014038086,5.714285850524902,5.882352828979492,5.882352828979492,5.882352828979492,0,5.714285850524902,3.0303030014038086,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,32899801088,8589930496,8766656512,1825271808
199,1760877550307,29760.175018310547,3250,1,0.73125,42447.64645385742,1300,2,0.73125,34800.49694824219,1300,2,0.73125,30984.18489074707,1300,2,0.73125,33841.41159057617,1300,2,0.73125,44073.77230834961,3250,1,0.73125,38622.609603881836,1300,2,0.73125,36961.11715698242,1300,2,0.73125,243294.81065368652,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,2.941176414489746,11.764705657958984,3.0303030014038086,5.714285850524902,5.882352828979492,5.882352828979492,5.882352828979492,0,5.714285850524902,3.0303030014038086,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,32899801088,8589930496,8766656512,1825271808
199,1760877550507,29760.250106811523,2000,2,0.11874999999999991,42447.663803100586,2000,2,0.11874999999999991,34800.728576660156,2000,2,0.11874999999999991,30984.208221435547,2000,2,0.11874999999999991,33841.422927856445,2000,2,0.11874999999999991,44076.09565734863,5000,0,0.11874999999999991,38622.631744384766,2000,2,0.11874999999999991,36961.128021240234,2000,2,0.11874999999999991,243298.7046508789,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,0,0,0,0,0,4.761904716491699,0,0,5.263157844543457,0,0,85,0,0,9.523809432983398,0,32899801088,8589930496,8769892352,1825271808
199,1760877550707,29760.54180908203,4675,0,0.25624999999999987,42450.284255981445,4675,0,0.25624999999999987,34800.99513244629,4675,0,0.25624999999999987,30984.331268310547,4675,0,0.25624999999999987,33841.59031677246,4675,0,0.25624999999999987,44076.338928222656,4675,0,0.25624999999999987,38622.805725097656,2337.5,1,0.25624999999999987,36961.386627197266,4675,0,0.25624999999999987,243304.3704071045,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,18.18181800842285,100,0,0,0,5.263157844543457,4.761904716491699,5,14.285715103149414,0,0,0,4.761904716491699,10,0,10,32899801088,8589930496,8770625536,1825271808
199,1760877550908,29760.832305908203,5025,0,0.10624999999999996,42452.52816772461,5025,0,0.10624999999999996,34801.24154663086,2010.0000000000002,2,0.10624999999999996,30984.551635742188,2010.0000000000002,2,0.10624999999999996,33841.858642578125,2010.0000000000002,2,0.10624999999999996,44076.70230102539,2010.0000000000002,2,0.10624999999999996,38623.41098022461,5025,0,0.10624999999999996,36961.711486816406,5025,0,0.10624999999999996,243310.01986694336,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,9.523809432983398,80,5.263157844543457,5.263157844543457,0,15.000000953674316,21.052631378173828,4.761904716491699,0,0,9.523809432983398,5,0,10,5,10.526315689086914,32899801088,8589930496,8771682304,1825271808
199,1760877551108,29760.908935546875,4800,0,0.25624999999999987,42454.80342102051,4800,0,0.25624999999999987,34801.35221862793,1920,2,0.25624999999999987,30984.593139648438,1920,2,0.25624999999999987,33841.8876953125,1920,2,0.25624999999999987,44076.92222595215,4800,0,0.25624999999999987,38623.485748291016,1920,2,0.25624999999999987,36961.72325134277,4800,0,0.25624999999999987,243315.4002380371,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,9.523809432983398,100,4.761904716491699,0,0,15.000000953674316,0,0,0,0,0,0,0,0,0,4.761904716491699,32899801088,8589930496,8768327680,1825271808
199,1760877551308,29761.024536132813,2000,2,0.09999999999999987,42455.33982849121,2000,2,0.09999999999999987,34801.448013305664,2000,2,0.09999999999999987,30984.673583984375,2000,2,0.09999999999999987,33841.995025634766,2000,2,0.09999999999999987,44078.59782409668,5000,0,0.09999999999999987,38623.57437133789,2000,2,0.09999999999999987,36961.81985473633,2000,2,0.09999999999999987,243320.06967163086,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,9.523809432983398,100,4.761904716491699,0,0,15.000000953674316,0,0,0,0,0,0,0,0,0,4.761904716491699,32899801088,8589930496,8770600960,1825271808
199,1760877551508,29761.041702270508,2000,2,0.09999999999999987,42455.351150512695,2000,2,0.09375,34801.46994018555,2000,2,0.09375,30984.686599731445,2000,2,0.09375,33842.005294799805,2000,2,0.09375,44081.061782836914,5000,0,0.09375,38623.58497619629,2000,2,0.09375,36961.835037231445,2000,2,0.09375,243324.77938842773,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,2.4390242099761963,10.256410598754883,0,2.4390242099761963,2.5,0,2.5,0,0,0,2.5,90,2.4390242099761963,0,2.4390242099761963,0,32899801088,8589930496,8770600960,1825271808
199,1760877551708,29761.08058166504,1910.0000000000002,2,0.2749999999999999,42455.4504699707,2387.5,1,0.2749999999999999,34801.509353637695,2387.5,1,0.2749999999999999,30984.75309753418,2387.5,1,0.2749999999999999,33842.01362609863,1910.0000000000002,2,0.2749999999999999,44082.84468078613,4775,0,0.2749999999999999,38623.6432800293,2387.5,1,0.2749999999999999,36961.96528625488,1910.0000000000002,2,0.2749999999999999,243329.6315765381,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,9.090909004211426,5,0,5,0,0,0,5,4.761904716491699,0,0,100,0,0,0,0,32899801088,8589930496,8769150976,1825271808
199,1760877551908,29761.11979675293,1989.9999999999998,2,0.13749999999999996,42455.524475097656,1989.9999999999998,2,0.13749999999999996,34801.55603027344,1989.9999999999998,2,0.13749999999999996,30984.78498840332,1989.9999999999998,2,0.13749999999999996,33842.01988220215,1989.9999999999998,2,0.13749999999999996,44084.6833190918,4975,0,0.13749999999999996,38623.67988586426,1989.9999999999998,2,0.13749999999999996,36961.972259521484,1989.9999999999998,2,0.13749999999999996,243334.0110168457,4689,2194,4816,1907,1909,2139,400,1865,400,400,400,2136,2127,1914,400,1763,0,5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,32899801088,8589930496,8769150976,1825271808
